Tabelle 2 aus DIN 1045-1000:  Zuordnung von Anwendungsfällen ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;1;2;3;4;5;6;;;;
14;3;Bauteile in Expositionsklasse XC3 oder Außenbauteile in Expositionsklassen XC4/XF1/XA1/XD1/XS1/XM1;N;N;N;N;;;;
15;3;Gründungsbauteile in den Expositionsklassen XC1/XC2;N;N;N;N;;;;
16;3 / 5;Beton mit künstlichen Luftporen (LP-Beton), z.B. XF2/XF3/XF4;N;E;E;E;;;;
17;3;Bauteile in Expositionsklassen XF2/XF3 (ohne künstliche Luftporen), XD2/XD3, XS2/XS3, XM2/XM3;N;N;E;E;;;;
18;3;Bauteile in Expositionsklasse XA2;E;N;E;E;;;;
19;3;chemischer Angriff XA3 oder stärker;S;N;S;S;;;;
20;3;Bauteile in den Feuchtigkeitsklassen WO, WF oder WA;N;N;N;N;;;;
21;3;Bauteile, bei denen zusätzlich eine Beschichtung oder Abdichtung zur Sicherstellung der Dauerhaftigkeit erforderlich ist (z. B. Parkbauten);E;N;E;E;;;;
;;Festigkeitsklassen und Festigkeitsentwicklung;;;;;;;;≤
22;3 / 5;Beton mit Druckfestigkeitsklasse ≤ C25/30;N;N;N;N;;;;≥
23;3 / 5;Betone der Druckfestigkeitsklassen ≥ C30/37 und ≤ C60/75 ;N;N;E;E;;;;
24;3;Betone der Druckfestigkeitsklassen ≥ C70/85 und ≤ C100/115 ;N;E;E;E;;;;
25;5;"von 28 Tagen abweichendes Nachweisalter für die 
Druckfestigkeit des Betonsc";E;N;E;E;;;;
26;3;Betone mit langsamer oder sehr langsamer Festigkeitsentwicklung;E;N;E;E;;;;
;;Betone für verschiedene Anwendungen;;;;;;;;
27;3;Betone mit zusätzlichen Planungsanforderungen an Betoneigenschaften (z.B. zu Elastizitätsmodul, Betonzugfestigkeit, Schwind- und Kriechbeiwerte, Beschränkung Größtkorn);E;S;E;S;;;;
28;3 / 5;Faserbeton ohne Leistungsklasse;N;N;N;N;;;;
29;3;Beton mit Kunststofffasern für den Brandschutz;E;E;E;E;;;;
30;3;Stahlfaserbeton nach DAfStb-Richtlinie Stahlfaserbeton mit Leistungsklasse ≤ L1-1,2;E;E;E;E;;;;
31;3;Stahlfaserbeton nach DAfStb-Richtlinie Stahlfaserbeton mit Leistungsklasse  > L1-1,2;E;E;E;E;;;;
32;3;Leichtbeton;N;E;E;E;;;;
33;3;Schwerbeton;S;E;E;S;;;;
34;3 oder 9;Betone der Konsistenzklassen F1 bis F5 oder C0 bis C4;N;N;N;N;;;;
35;3 oder 9;Betone der Konsistenzklasse F6;N;E;E;E;;;;
36;5;selbstverdichtender Beton;E;E;E;E;;;;
37;5;"Beton mit rezyklierten Gesteinskörnungen  ≤25 Vol.-% nach 
DIN 1045-2:2023-08, 5.2.3.4, (1), 1. Spiegelstrich";N;N;N;N;;;;
38;5;"Beton mit rezyklierten Gesteinskörnungen  >25 Vol.-% Austausch der groben Gesteinskörnung nach 
DIN 1045-2:2023-08, 5.2.3.4, (1), 2. Spiegelstrich";N;E;E;E;;;;
39;5;"Beton mit rezyklierten Gesteinskörnungen abweichend von 
DIN 1045-2:2023-08, 5.2.3.4";S;S;E;S;;;;
40;5;"Verzögerter Beton mit einer Verzögerungszeit von mindestens 3 Stunden bis maximal 12 Stunden nach DAfStb-Richtlinie Beton mit 
verlängerter Verarbeitbarkeitszeit (Verzögerter Beton)";N;E;E;E;;;;
41;5;"Verzögerter Beton mit einer Verzögerungszeit von mehr als 12 Stunden nach DAfStb-Richtlinie Beton mit 
verlängerter Verarbeitbarkeitszeit (Verzögerter Beton)";N;S;S;S;;;;
42;3;Unterwasserbeton;E;E;E;E;;;;
43;3;Beton mit Pigmenten;N;E;N;E;;;;
"Bauteile u. Bauwerke mit verschiedenen Anforderungen an die Bemessung, 
Konstruktion u. Ausführung";;;;;;;;;;
44;3;"befahrene Verkehrsflächen mit Instandhaltungsplan nach DIBt TR Instandhaltung von Betonbauteilen zur 
Sicherstellung der Dauerhaftigkeit (z.B. Parkdecks)";E;N;N;E;;;;
45;3;"Bauteile, bei denen die Mindestbewehrung (für ""frühen Zwang"") mit abgeminderter Zugfestigkeit oder durch 
Wahl der Betonierabschnitte ermittelt wird";E;N;E;E;;;;
46;3;Bauteile mit erhöhten Bewehrungsgraden nach DIN 1045-1;E;N;E;E;;;;
47;3;Bauteile mit besonders hohem Gehalt an Einbauteilen, Anlagen der technischen Gebäudeausrüstung sowie großformatigen Hohlkörpern;E;N;E;E;;;;
48;3;"Bauteile mit Ebenheitsanfoderungen nach DIN 18202:2019-07, 
Tabelle 3, Zeilen 4 oder 7 ";E;N;E;E;;;;
49;3;zusätzliche Oberflächenbearbeitung (über Abscheiben und Abziehen hinaus) und Oberflächen mit besonderer Textur (z.B. Besenstrich);N;N;E;E;;;;
50;3;massige Bauteile nach DAfStb-Richtlinie Massige bauteile aus Beton;E;N;E;E;;;;
51;3;Bauteile im Spezialtiefbau (Pfähle, Schlitzwände, usw.);E;N;E;E;;;;
52;3;WU-Konstruktion nach DAfStb-Richtlinie Wasserundurchlässige Bauwerke aus Beton nach Beanspruchungsklasse 1;E;N;E;E;;;;
53;3;WU-Konstruktion nach DAfStb-Richtlinie Wasserundurchlässige Bauwerke aus Beton nach Beanspruchungsklasse 2;E;N;N;E;;;;
54;3;Vorspannung mit sofortigem Verbund;N;N;E;E;;;;
55;3;Vorspannung mit nachträglichem Verbund oder ohne Verbund;E;N;E;E;;;;
56;3;"erhöhte Anforderungen an die Begrenzung der Verformung 
(z.B. Durchbiegung)";E;N;E;E;;;;
57;3;"Bauteile, bei denen Verformungen und Zwang erheblichen Einfluss 
auf die Schnittgröße haben";E;N;N;E;;;;
58;3;Abminderung des Vorhaltemaßes der Betondeckung;E;N;E;E;;;;
59;5;Bauteile mit üblichen Betonieröffnungen und Rüttelgassen;N;N;N;N;;;;
60;5;"Bauteile, bei denen die Anordnung von üblichen Betonieröffnungen oder Rüttelgassen nicht möglich ist und deswegen das Einbauverfahren besonders zu planen ist oder Probebetonagen 
(Vorversuche) erforderlich sind";E;N;E;E;;;;
61;3;nicht geschalte, flächige Bauteile mit planmäßigem Gefälle;N;N;E;E;;;;
"Bauteile u. Bauwerke mit verschiedenen Anforderungen an die Bemessung, 
Konstruktion u. Ausführung";;;;;;;;;;
62;3;"""sehr glatte"" und ""glatte"" Arbeitsfugen nach DIN EN 1992-1-1:2011-01 mit NA, 6.2.5 (2)";N;N;N;N;;;;
63;3;"""raue"" und ""verzahnte"" Arbeitsfugen nach DIN EN 1992-1-1:2011-01 mit NA, 6.2.5 (2)";N;N;E;E;;;;
64;3;Arbeitsfugen mit Fugeneinlage (Sollbruchstelle) nach DIN 1045-1:2023-08, 5.2 (2);E;N;E;E;;;;
65;3;nichtmetalische Bewehrung;E;N;E;E;;;;
;;Bauverfahren und Nachbehandlung;;;;;;;;
66;3;Gleitbauverfahren;E;S;S;S;;;;
67;5 / 9;Frischbetontemperaturen über 30°C;N;S;S;S;;;;
68;5 / 9;besondere Förderverfahren (z.B. über lange Strecken über große Höhenunterschiede oder bei geringen Rohrdurchmessern);N;S;E;S;;;;
69;5 / 9;Betonförderung durch Pumpen (übliche Strecken);N;N;N;N;;;;
70;5 / 9;maschineller Einbau (z.B. Deckenfertiger, Walzbeton);N;N;E;E;;;;
71;5 / 9;Traggerüste der Bemessungsklasse A;N;N;N;N;;;;
72;5 / 9;Traggerüste der Bemessungsklasse B1 und B2;E;N;E;E;;;;
73;3;Nachbehandlung mit dem Ziel der Verringerung des Risspotenziales aus plastischem Schwinden (gegenenenfalls Zwischennachbehandlung);E;N;E;E;;;;
74;3;Nachbehandlung mit dem Ziel der Verringerung des Risspotenziales aus Temperatur-Zwangsspannungen;E;N;E;E;;;;
75;3;Nachbehandlung nach DIN 1045-3:2023-08, Tabelle 5;N;N;N;N;;;;
76;3;Nachbehandlung abweichend von DIN 1045-3:2023-08, Tabelle 5;S;N;S;S;;;;
;;;;;;;;;;
;;Ermittelte BBQ-Klasse ;;;;;;;;
;;;;;;;;;;
a;Dieser Anwendungsfall beinhaltet nicht die bereits durch die Normenreihe DIN 1045 abgedeckten Maßnahmen zur Nachhaltigkeit im Betonbau, wie z.B. die Verwendung von Beton mit rezyklierter Gesteinskörnung (Zeilen 37 bis 39), die Verwendung von klinkereffizienten Zementen nach DIN 1045-2 oder eine ressourceneffiziente Planung (9).;;;;;;;;;
b;Bei Fertigteilen ist nach Abschnitt A.3 zu verfahren.;;;;;;;;;
c;Die Randbedingungen von DIN 1045-2:2023-08, Anhang K sind zu beachten.;;;;;;;;;
